Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
India,"MUMBAI ANCH",,179,115,116,6,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,MUMBAI,INBOM,97,88,100,68,"2024-10-22 13:05","MUMBAI ANCH","West Coast India","West Coast India"
India,SIKKA,INSIK,65,8,9,35,"2024-10-22 13:05","SIKKA ANCH","West Coast India","West Coast India"
India,MUNDRA,INMUN,64,43,40,65,"2024-10-22 13:05","MUNDRA ANCH","West Coast India","West Coast India"
India,HAZIRA,INHZR,63,50,44,30,"2024-10-22 13:05","HAZIRA ANCH","West Coast India","West Coast India"
India,VISAKHAPATNAM,INVTZ,55,24,24,27,"2024-10-22 13:05","VISAKHAPATNAM ANCH","East Coast India","Bengal Bay"
India,KANDLA,INIXY,45,13,15,62,"2024-10-22 13:05","KANDLA ANCH","West Coast India","West Coast India"
India,KOCHI,INCOK,43,41,29,28,"2024-10-22 13:05","COCHIN ANCH","West Coast India","West Coast India"
India,KAKINADA,INKAK,43,5,7,14,"2024-10-22 13:05","KAKINADA ANCH","East Coast India","Bengal Bay"
India,PARADIP,INPRT,39,48,44,34,"2024-10-22 13:05","PARADIP ANCH","East Coast India","Bengal Bay"
India,"NHAVA SHEVA",INNSA,36,51,55,40,"2024-10-22 13:05","MUMBAI ANCH","West Coast India","West Coast India"
India,"KANDLA ANCH",,36,10,7,2,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,TUTICORIN,INTUT,35,11,13,20,"2024-10-22 13:05","TUTICORIN ANCH","East Coast India","Laccadive Sea"
India,HALDIA,INHAL,28,9,7,19,"2024-10-22 13:05","KOLKATA ANCH","East Coast India","Bengal Bay"
India,VADINAR,INVAD,28,11,16,10,"2024-10-22 13:05","VADINAR ANCH","West Coast India","West Coast India"
India,"PARADIP ANCH",,27,32,43,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,DHARAMTAR,INDMT,25,30,30,4,"2024-10-22 13:05","MUMBAI ANCH","West Coast India","West Coast India"
India,"HAZIRA ANCH",,24,31,35,5,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,CHENNAI,INMAA,21,3,10,19,"2024-10-22 13:05","CHENNAI ANCH","East Coast India","Bengal Bay"
